profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
1	Ap1	15	7.13		30	313	sL		5.16		299	mittel steinig	20	locker	470	Krümel	ja	Fein-mittel	-		100	17	40	11	43	17	44	39
1	Ap2	38	7.3		31	313	SL		2.494		399	stark steinig	30	mittel	450	Subpolyeder	ja	Mittel-grob	-		100	17	41	11	42	17	45	38
1	Ap3	55	7.42		42	313	SL		1.204		399	stark steinig	30	mittel	450	Subpolyeder	-	Mittel-grob	-		100	16	37	11	47	16	41	43
1	C	150	7.75		58	231	lS		0.1548		599	skelettboden	50	dicht	399	Kohärentgefüge	-	-	-		100	6	36	14	58	6	41	53
2	Ap1	55	7.3		68	231	lS		3.9		299	mittel steinig			470	Krümel	ja	Mittel-fein	mäßig			11	43	10	46	11	46	43
2	Ap2	85	7.51		77	231	lS		1.3		399	stark steinig			440	Polyeder	ja	Mittel-grob	schwach			10	44	10	46	10	47	43
2	C	160	7.7		90	231	lS		0.36		599	skelettboden			399	Kohärentgefüge	ja	-	-			5	29	11	66	5	33	62
2	Ab	260	7.54		78	231	lS		1.25		399	stark steinig			450	Subpolyeder	ja	mittel	mäßig			13	49	12	38	13	53	34
3	Y	15	7.41		35				1.17													15	55	10	30			
3	Ap1	30	7.19		11				4.82		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	deutlich			23	48	13	29			
3	Ap2	60	7.39		11				1.94		199	Sehr geringer Grobanteil			420	Prismen	ja	Mittel-grob	deutlich			24	55	11	21			
3	Abb	105	7.46		22				1.05		199	Sehr geringer Grobanteil			420	Prismen	ja	Grob-sehr grob	deutlich			37	52	5	11			
3	Bb	220	7.61		53				0.51		199	Sehr geringer Grobanteil			420	Prismen	ja	Grob-sehr grob	deutlich			29	70	0	1			
4	Ap1	55	7.36		38				2.53		299	Gering-mäßgier Grobanteil			450	Subpolyeder	ja	Fein-mittel	schwach			22	51	12	27			
4	Ap2	75	7.46		39				2.2		299	Gering-mäßgier Grobanteil			450	Subpolyeder	ja	grob	deutlich			22	52	11	26			
4	Bb	160	7.53		22				1.3		399	stark steinig			450	Subpolyeder	ja	Grob-fein	deutlich			29	50	12	21			
4	BC	305	7.85		64				0.34		199	Sehr geringer Grobanteil			420	Prismen	-	grob	schwach			14	69	11	17			
5	Ap1	25	7.37		23				2.48		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig			25	43	14	32			
5	Ap2	60	7.42		27				2.17		299	mittlerer Grobanteil			440	Polyeder	ja	Mittel-grob	deutlich			23	45	11	32			
5	B1	96	7.46		20				1.65		399	stark steinig			440	Polyeder	-	grob	deutlich			24	42	15	34			
5	B2	130	7.49		28				1.34		399	stark steinig			440	Polyeder	-	grob	deutlich			22	41	13	37			
6	Ap1	16	7.2		26				5.93		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	deutlich			22	41	13	37			
6	Ap2	35	7.22		26				3.44		399	stark steinig			440	Polyeder	ja	grob	deutlich			23	40	13	37			
6	B	75	7.37		28				1.01		499	sehr stark steinig			450	Subpolyeder	ja	mittel	schwach			21	39	13	40			
6	C	135	7.61		57				0.5		499	sehr stark steinig			399	Kohärentgefüge	ja	-	-			11	37	22	52			
7	Ap1	10	7.22		19				3.96		299	mittlerer Grobanteil			450	Subpolyeder und Krümel	-	fein	deutlich		50	23	41	14	36			
7	Ap2	32	7.37		15				1.84		299	mittlerer Grobanteil			440	Polyeder	-	grob	mäßig			26	41	14	33			
7	B	70	7.44		34				0.82		399	stark steinig			440	Polyeder	-	mittelgroß	deutlich			22	41	13	37			
7	BC	95	7.59		46				0.77		399	stark steinig			440	Polyeder	-	Grob-mittel#	mäßig			14	43	11	43			
7	C	130	7.75		67				0.2		399	stark steinig			399	Kohärentgefüge	-	leicht zerdrückbar				9	42	13	49			
8	Ap1	20	7.3		12				2.56		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mittel			23	40	16	37			
8	Ap2	50	7.39		16				1.93		299	mittlerer Grobanteil			450	Subpolyeder	ja	Grob-mittel	mittel			23	40	16	37			
8	BC	85	7.53		24				1.24		399	stark steinig			450	Subpolyeder	ja	Grob-mittel	schwach			22	43	14	35			
8	C	180	7.7		51				0.32		399	stark steinig			399	Kohärentgefüge	ja	-	-			10	48	14	42			
9	Ap1	30	7.32		20				4.44		199	geringer Grobanteil			450	Subpolyeder	feinporös	Fein-mittel	deutlich			20	40	13	40			
9	Ap2	70	7.46		23				2.27		199	geringer Grobanteil			450	Subpolyeder	feinporös	Fein-mittel	stark			22	47	10	31			
9	B	125	7.76		49				0.35		199	Sehr geringer Grobanteil			420	Prismen	feinporös	mittel	mittel			18	68	7	14			
10	Ap1	32	7.13		14				2.22		299	mittlerer Grobanteil			450	Subpolyeder	ja	Fein-mittel	schwach			9	26	14	65			
10	Ap2	90	7.46		15				0.74		299	mittlerer Grobanteil			450	Subpolyeder	ja	grob	schwach			9	26	10	65			
10	C	130	7.71		12				0.06		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-			12	31	11	57			
11	Ap1	20	7.12		6				4.04		299	mittlerer Grobanteil			450	Subpolyeder		Mittel-fein	schwach			14	30	16	56			
11	B	90	7.39		3				0.74		299	mittlerer Grobanteil			450	Subpolyeder		Mittel-grob	schwach			17	26	18	57			
11	C																											
12	Ap1	20	7.25		62				3.34		399	stark steinig			450	Subpolyeder und Bröckel	ja	Mittel-fein	schwach		50	15	39	12	46			
12	C	80	7.51		68				1.22		499	sehr stark steinig			299	Einzelkorn und Bröckel	ja	leicht zerdrückbar	-			14	40	13	46			
13	Ap1	30	7.42		7				1.28		199	Sehr geringer Grobanteil			440	Polyeder	-	grob bis sehr grob	mittel			58	36	5	6			
13	Ap2	60	7.59		6				0.83		199	Sehr geringer Grobanteil			440	Polyeder	-	sehr grob	mittel			54	41	0	5			
13	ApC	85	7.66		6				0.63		199	Sehr geringer Grobanteil			440	Polyeder	-	sehr grob	schwach			55	40	1	5			
13	C	120	7.76		8				0.24		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	plattig	-			68	30	1	2			
14	Ap1	25	5.65		0				1.53		199	Sehr geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			13	36	20	51			
14	Ap2	77	5.96		0				0.62		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			13	37	23	50			
14	B	95	6.16		0				0.34		199	Sehr geringer Grobanteil			440	Polyeder	-	Grob-mittel	sehr schwach			13	38	22	49			
14	BC	145	6.37		0				0.19		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	leicht zerdrückbar	-			8	32	27	60			
14	C	170	6.49		0				0.02		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar	-			3	22	30	75			
15	Ap1	25	5.59		0				1.98		199	Sehr geringer Grobanteil			450	Subpolyeder	-	grob	schwach			13	36	20	51			
15	Ap2	45	6.06		0				0.71		199	geringer Grobanteil			450	Subpolyeder	-	Grob-mittel	mittel			14	37	22	49			
15	B1	90	6.18		0				0.48		199	geringer Grobanteil			450	Subpolyeder	-	Grob-mittel	mittel			15	33	23	52			
15	B2	130	6.5		0				0.26		199	Sehr geringer Grobanteil			450	Subpolyeder	-	grob	schwach			10	35	24	55			
15	Bct	170	6.69		0				0.21		199	Sehr geringer Grobanteil			440	Polyeder	-	sehr grob	schwach			13	29	27	58			
16	Ap1	30	7.14		3				2.1		299	mittlerer Grobanteil			450	Subpolyeder	ja	Grob-mittel	schwach			6	27	67	67			
16	Ap2	65	7.31		2				1.45		299	mittlerer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			7	26	67	67			
16	2Ck	130	7.69		5				0.2		199	geringer Grobanteil			399	Kohärentgefüge	-	leicht zerdrückbar				3	38	59	59			
17	Ap1	15	7.17		6				3.68		199	geringer Grobanteil			450	Subpolyeder	ja	Fein-mittel	schwach			17	30	14	53			
